session 1||001931ac-227c-4af0-a04a-35314e3d8d9d||2264325;2264325;2264325;2264325;2264325;2264325;2264325;2264325;2264325;2264325;2264325;2264325;2264325;2264325;2264325;2264325;2264325;||['2264325']||['2264325']||1||2015-03-27 21:09:26||2015-03-27 21:09:26||2015-03-27 21:09:26||['2015-03-27 21:13:56']||0.0||0
session 1||0025d1e4-c13e-4ecc-9783-6575d7b5f39f||3222270;3222270;3222270;3222270;3222270;3222270;3222270;1142761;1142761;1142761;1142761;1142761;3092235;3092235;3092235;3092235;3092235;3092235;3092235;3092235;3092235;6246370;6246370;6246370;6246370;6246370;||['1373688', '1373736', '2132749', '3092235']||['3092235']||1||2015-03-17 21:14:14||2015-03-17 21:19:22||2015-03-17 21:53:37||[]||308.0||2055.0
session 2||0025d1e4-c13e-4ecc-9783-6575d7b5f39f||3092235;3092235;3092235;3092235;3092235;3092235;3092235;3092235;3092235;3092235;3092235;3092235;3092235;3092235;3092235;3092235;3092235;3092235;1142761;1142761;1142761;1142761;1142761;1373688;1373688;1373688;1373688;1373688;1373688;1373688;1373688;1373688;1373688;2132749;||['1373688', '1373736', '2132749', '3092235']||['1373688', '2132749', '3092235']||3||2015-03-17 21:14:14||2015-03-17 22:02:13||2015-03-22 10:48:00||[]||516.0||391547.0
session 3||0025d1e4-c13e-4ecc-9783-6575d7b5f39f||2132749;2132749;2132749;6246370;6246370;6246370;6246370;6246370;3092235;3092235;3092235;3092235;3092235;3092235;3092235;3092235;3092235;3092235;3092235;3092235;3092235;3092235;||['1373688', '1373736', '2132749', '3092235']||['2132749', '3092235']||2||2015-03-17 21:14:14||2015-03-22 10:56:23||2015-03-22 10:56:23||['2015-03-22 11:24:23', '2015-03-22 11:24:23', '2015-03-22 11:24:23', '2015-03-22 11:24:23']||503.0||0
session 1||0026440a-f5fe-4c67-a14b-8657570074cf||3458329;3458329;3458329;3458329;2266574;2266574;2266574;2266574;2266574;2266574;2266574;2266574;2266574;2266574;2266574;2266574;2266574;2268943;2268943;2268943;2268943;2268943;2268943;2268943;2268943;2268943;2268943;2268943;2268943;||['2268943']||['2268943']||1||2015-03-29 15:46:51||2015-03-29 15:49:24||2015-03-29 15:49:24||['2015-03-29 16:19:54']||153.0||0
session 1||004ac2e0-00f5-460d-ada6-020751432cac||8285793;8285793;8285793;8285793;8285793;8285793;8285793;8285793;9284834;9284834;9284834;9284834;9284834;8336604;8336604;8336604;8336604;8336604;8336604;8336604;8336604;8336604;8336594;8336594;8336594;8336594;8336594;8337012;8337012;8337012;8337012;8337012;8337012;8337012;8337012;8337012;8336587;8336587;8336587;8336587;8336587;8336587;8336587;8336587;8336587;8336604;8336604;8336604;8336604;8336604;8336604;8336604;8336604;8336604;8285793;8285793;8285793;8285793;8285793;8285793;8285793;8285793;||['8336604', '8336604', '9284834']||['8336604', '8336604', '9284834']||3||2015-02-15 12:48:33||2015-02-15 13:00:11||2015-02-15 17:42:25||['2015-02-15 12:59:13']||698.0||16934.0
session 2||004ac2e0-00f5-460d-ada6-020751432cac||9284834;9284834;9284834;9284834;9284834;9284834;||['8336604', '8336604', '9284834']||['9284834']||1||2015-02-15 12:48:33||2015-02-15 17:42:25||2015-02-16 08:25:38||['2015-02-15 12:59:13']||0.0||52993.0
session 3||004ac2e0-00f5-460d-ada6-020751432cac||9284834;9284834;9284834;9284834;9284834;9284834;||['8336604', '8336604', '9284834']||['9284834']||1||2015-02-15 12:48:33||2015-02-16 08:25:38||2015-02-16 09:30:44||['2015-02-15 12:59:13']||0.0||3906.0
session 4||004ac2e0-00f5-460d-ada6-020751432cac||9284834;9284834;9284834;9284834;9284834;8286857;||['8336604', '8336604', '9284834']||['9284834']||1||2015-02-15 12:48:33||2015-02-16 09:30:44||2015-02-17 08:07:06||['2015-02-15 12:59:13']||0.0||81382.0
session 5||004ac2e0-00f5-460d-ada6-020751432cac||8286857;8286857;8286857;8286857;8286857;8286840;8286840;8286840;8286840;8286840;8286833;8286833;8286833;8286833;8286833;8286840;8286840;8286840;8286840;8286840;8286840;8286840;8286840;8286840;8286840;9284834;9284834;9284834;9284834;9284834;8336587;||['8336604', '8336604', '9284834']||['9284834']||1||2015-02-15 12:48:33||2015-02-17 08:21:59||2015-02-20 20:20:05||['2015-02-15 12:59:13']||893.0||302286.0
session 6||004ac2e0-00f5-460d-ada6-020751432cac||8336587;8336587;8336587;8336587;8336587;8336587;8336587;8336587;8336587;8336604;8336604;8336604;8336604;8336604;8336604;8336604;8336604;8336604;8336604;8336604;8336604;8336604;8336604;8336604;8336604;8336604;8336604;8754815;||['8336604', '8336604', '9284834']||['8336604', '8336604']||2||2015-02-15 12:48:33||2015-02-20 20:22:15||2015-02-20 22:00:02||['2015-02-15 12:59:13']||130.0||5867.0
session 7||004ac2e0-00f5-460d-ada6-020751432cac||8754815;8754815;8754815;8754815;8754815;8754815;8754815;8754815;8754815;8754815;8754815;8754815;8754815;8754815;9031317;||['8336604', '8336604', '9284834']||[]||0||2015-02-15 12:48:33||2015-02-20 22:05:07||2015-02-21 09:29:50||['2015-02-20 22:07:33', '2015-02-21 09:23:13', '2015-02-15 12:59:13']||305.0||41083.0
session 8||004ac2e0-00f5-460d-ada6-020751432cac||9031317;9031317;9031317;9031317;9031317;3311174;||['8336604', '8336604', '9284834']||[]||0||2015-02-15 12:48:33||2015-02-21 09:29:50||2015-03-09 10:38:40||['2015-02-20 22:07:33', '2015-02-21 09:23:13', '2015-02-15 12:59:13']||0.0||1386530.0
session 9||004ac2e0-00f5-460d-ada6-020751432cac||3311174;3311174;3311174;3311174;2475066;||['8336604', '8336604', '9284834']||[]||0||2015-02-15 12:48:33||2015-03-09 10:38:40||2015-03-09 11:31:22||['2015-02-20 22:07:33', '2015-02-21 09:23:13', '2015-02-15 12:59:13']||0.0||3162.0
session 10||004ac2e0-00f5-460d-ada6-020751432cac||2475066;2475066;2475066;2475066;2475066;2475066;2475066;||['8336604', '8336604', '9284834']||[]||0||2015-02-15 12:48:33||2015-03-09 11:31:22||2015-03-09 11:31:22||['2015-02-20 22:07:33', '2015-02-21 09:23:13', '2015-02-15 12:59:13']||0.0||0
session 1||005e8be5-3fb6-4b4e-9d64-88b805686df9||2786009;2786009;2786009;2786009;2786009;2786009;2786009;2786009;2786009;2786009;2786009;2786009;2786009;1615559;1615559;1615559;1615559;1615559;1615559;1615559;1615559;1615559;1615559;1615559;1615559;1615559;1615559;1615559;1615559;1615559;1615559;1615559;1615559;1615559;1615559;1615559;1615559;1615559;1615559;1615559;1615559;1615559;1615559;1615559;1615559;1615559;3232325;3232325;3232325;3232325;||['2786009', '3602278']||['2786009']||1||2015-03-03 22:23:24||2015-03-03 22:47:58||2015-03-03 22:53:15||[]||1474.0||317.0
